date,ndvi_mean
2008-01-01,0.6805
2008-01-17,0.649
2008-02-02,0.6585
2008-02-18,0.4515
2008-03-05,0.4682
2008-03-21,0.4963
2008-04-06,0.6019
2008-04-22,0.6236
2008-05-08,0.6562
2008-05-24,0.4836
2008-06-09,0.3993
2008-06-25,0.3913
2008-07-11,0.3601
2008-07-27,0.3314
2008-08-12,0.305
2008-08-28,0.2924
2008-09-13,0.2543
2008-09-29,0.274
2008-10-15,0.3054
2008-10-31,0.2977
2008-11-16,0.5338
2008-12-02,0.6021
2008-12-18,0.625
2009-01-01,0.5249
2009-01-17,0.567
2009-02-02,0.5244
2009-02-18,0.3832
2009-03-06,0.4083
2009-03-22,0.3886
2009-04-07,0.363
2009-04-23,0.417
2009-05-09,0.4258
2009-05-25,0.3664
2009-06-10,0.3245
2009-06-26,0.3085
2009-07-12,0.3027
2009-07-28,0.294
2009-08-13,0.364
2009-08-29,0.2486
2009-09-14,0.2519
2009-09-30,0.2597
2009-10-16,0.3285
2009-11-01,0.5479
2009-11-17,0.6195
2009-12-03,0.7021
2009-12-19,0.7178
2010-01-01,0.706
2010-01-17,0.6365
2010-02-02,0.5757
2010-02-18,0.6433
2010-03-06,0.6643
2010-03-22,0.6671
2010-04-07,0.7227
2010-04-23,0.729
2010-05-09,0.6275
2010-05-25,0.6377
2010-06-10,0.5177
2010-06-26,0.4622
2010-07-12,0.4452
2010-07-28,0.3873
2010-08-13,0.3708
2010-08-29,0.312
2010-09-14,0.3463
2010-09-30,0.3191
2010-10-16,0.3262
2010-11-01,0.4994
2010-11-17,0.7342
2010-12-03,0.699
2010-12-19,0.658
2011-01-01,0.6491
2011-01-17,0.5889
2011-02-02,0.4927
2011-02-18,0.5793
2011-03-06,0.495
2011-03-22,0.6866
2011-04-07,0.7163
2011-04-23,0.741
2011-05-09,0.6256
2011-05-25,0.6037
2011-06-10,0.4252
2011-06-26,0.4034
2011-07-12,0.3737
2011-07-28,0.3394
2011-08-13,0.3177
2011-08-29,0.3167
2011-09-14,0.3136
2011-09-30,0.1594
2011-10-16,0.395
2011-11-01,0.5169
2011-11-17,0.7226
2011-12-03,0.7414
2011-12-19,0.707
2012-01-01,0.6781
2012-01-17,0.5507
2012-02-02,0.4941
2012-02-18,0.4182
2012-03-05,0.3777
2012-03-21,0.32
2012-04-06,0.6175
2012-04-22,0.7316
2012-05-08,0.7267
2012-05-24,0.6886
2012-06-09,0.5779
2012-06-25,0.4136
2012-07-11,0.4394
2012-07-27,0.2667
2012-08-12,0.3369
2012-08-28,0.3238
2012-09-13,0.3061
2012-09-29,0.2452
2012-10-15,0.2937
2012-10-31,0.4519
2012-11-16,0.6995
2012-12-02,0.7119
2012-12-18,0.7123
2013-01-01,0.7599
2013-01-17,0.6716
2013-02-02,0.6105
2013-02-18,0.5141
2013-03-06,0.3813
2013-03-22,0.6666
2013-04-07,0.6731
2013-04-23,0.7533
2013-05-09,0.5247
2013-05-25,0.4244
2013-06-10,0.4066
2013-06-26,0.4125
2013-07-12,0.3151
2013-07-28,0.3881
2013-08-13,0.3652
2013-08-29,0.2832
2013-09-14,0.2725
2013-09-30,0.2768
2013-10-16,0.3527
2013-11-01,0.4219
2013-11-17,0.5764
2013-12-03,0.7238
2013-12-19,0.729
2014-01-01,0.6335
2014-01-17,0.6023
2014-02-02,0.5305
2014-02-18,0.6218
2014-03-06,0.4808
2014-03-22,0.6358
2014-04-07,0.653
2014-04-23,0.6895
2014-05-09,0.6293
2014-05-25,0.5567
2014-06-10,0.4642
2014-06-26,0.1652
2014-07-12,0.361
2014-07-28,0.3623
2014-08-13,0.3243
2014-08-29,0.2921
2014-09-14,0.3091
2014-09-30,0.3277
2014-10-16,0.3513
2014-11-01,0.1069
2014-11-17,0.6375
2014-12-03,0.6909
2014-12-19,0.6759
2015-01-01,0.637
2015-01-17,0.5387
2015-02-02,0.5164
2015-02-18,0.378
2015-03-06,0.4097
2015-03-22,0.132
2015-04-07,0.5968
2015-04-23,0.248
2015-05-09,0.7507
2015-05-25,0.6909
2015-06-10,0.5648
2015-06-26,0.5221
2015-07-12,0.4014
2015-07-28,0.2367
2015-08-13,0.3154
2015-08-29,0.3195
2015-09-14,0.2875
2015-09-30,0.3097
2015-10-16,0.2815
2015-11-01,0.3282
2015-11-17,0.6812
2015-12-03,0.6719
2015-12-19,0.7153
2016-01-01,0.7401
2016-01-17,0.673
2016-02-02,0.672
2016-02-18,0.5788
2016-03-05,0.61
2016-03-21,0.5874
2016-04-06,0.6913
2016-04-22,0.631
2016-05-08,0.6691
2016-05-24,0.6336
2016-06-09,0.5237
2016-06-25,0.4529
2016-07-11,0.3743
2016-07-27,0.3511
2016-08-12,0.3312
2016-08-28,0.2988
2016-09-13,0.3029
2016-09-29,0.2728
2016-10-15,0.2836
2016-10-31,0.3667
2016-11-16,0.569
2016-12-02,0.65
2016-12-18,0.6389
2017-01-01,0.6363
2017-01-17,0.5072
2017-02-02,0.5351
2017-02-18,0.4737
2017-03-06,0.413
2017-03-22,0.3904
2017-04-07,0.4368
2017-04-23,0.5939
2017-05-09,0.6423
2017-05-25,0.6306
2017-06-10,0.6637
2017-06-26,0.4647
2017-07-12,0.3689
2017-07-28,0.4204
2017-08-13,0.3927
2017-08-29,0.3098
2017-09-14,0.3117
2017-09-30,0.2736
2017-10-16,0.3282
2017-11-01,0.6149
2017-11-17,0.6503
2017-12-03,0.6646
2017-12-19,0.5978
2018-01-01,0.583
2018-01-17,0.5672
2018-02-02,0.4964
2018-02-18,0.3726
2018-03-06,0.515
2018-03-22,0.662
2018-04-07,0.5632
2018-04-23,0.7478
2018-05-09,0.7534
2018-05-25,0.7061
2018-06-10,0.5673
2018-06-26,0.6014
2018-07-12,0.4973
2018-07-28,0.4905
2018-08-13,0.5025
2018-08-29,0.4165
2018-09-14,0.3969
2018-09-30,0.4051
2018-10-16,0.3734
2018-11-01,0.4087
2018-11-17,0.4549
2018-12-03,0.5514
2018-12-19,0.7259
2019-01-01,0.5296
2019-01-17,0.6571
2019-02-02,0.5595
2019-02-18,0.5072
2019-03-06,0.4941
2019-03-22,0.4223
2019-04-07,0.3644
2019-04-23,0.4486
2019-05-09,0.7684
2019-05-25,0.7007
2019-06-10,0.6512
2019-06-26,0.4896
2019-07-12,0.494
2019-07-28,0.3961
2019-08-13,0.361
2019-08-29,0.3471
2019-09-14,0.3239
2019-09-30,0.3433
2019-10-16,0.444
2019-11-01,0.6252
2019-11-17,0.5503
2019-12-03,0.7536
2019-12-19,0.7044
2020-01-01,0.6813
2020-01-17,0.6795
2020-02-02,0.7081
2020-02-18,0.3321
2020-03-05,0.714
2020-03-21,0.073
2020-04-06,0.6427
2020-04-22,0.7028
2020-05-08,0.6506
2020-05-24,0.6403
2020-06-09,0.6609
2020-06-25,0.595
2020-07-11,0.5478
2020-07-27,0.5087
2020-08-12,0.4897
2020-08-28,0.4683
2020-09-13,0.4037
2020-09-29,0.3905
2020-10-15,0.4263
2020-10-31,0.2859
2020-11-16,0.6801
2020-12-02,0.6462
2020-12-18,0.692
2021-01-01,0.7111
2021-01-17,0.719
2021-02-02,0.5785
2021-02-18,0.6005
2021-03-06,0.4526
2021-03-22,0.4412
2021-04-07,0.6901
2021-04-23,0.7474
2021-05-09,0.469
2021-05-25,0.7179
2021-06-10,0.1934
2021-06-26,0.5296
2021-07-12,0.4131
2021-07-28,0.3996
2021-08-13,0.3335
2021-08-29,0.3377
2021-09-14,0.3122
2021-09-30,0.3272
2021-10-16,0.3022
2021-11-01,0.2751
2021-11-17,0.3456
2021-12-03,0.3809
2021-12-19,0.634
2022-01-01,0.6892
2022-01-17,0.6686
2022-02-02,0.6
2022-02-18,0.553
2022-03-06,0.4854
2022-03-22,0.3862
2022-04-07,0.6871
2022-04-23,0.76
2022-05-09,0.6721
2022-05-25,0.6318
2022-06-10,0.5628
2022-06-26,0.4573
2022-07-12,0.4295
2022-07-28,0.403
2022-08-13,0.3835
2022-08-29,0.3521
2022-09-14,0.3112
2022-09-30,0.3127
2022-10-16,0.2987
2022-11-01,0.3003
2022-11-17,0.8243
2022-12-03,0.6059
2022-12-19,0.5708
2023-01-01,0.6484
2023-01-17,0.6086
2023-02-02,0.5617
2023-02-18,0.3985
2023-03-06,0.3834
2023-03-22,0.1582
2023-04-07,0.5977
2023-04-23,0.6459
2023-05-09,0.662
2023-05-25,0.6766
2023-06-10,0.6605
2023-06-26,0.5585
2023-07-12,0.5065
2023-07-28,0.4405
2023-08-13,0.4376
2023-08-29,0.3595
2023-09-14,0.3691
2023-09-30,0.3562
2023-10-16,0.3727
2023-11-01,0.5186
2023-11-17,0.7637
2023-12-03,0.665
2023-12-19,0.7492
2024-01-01,0.4238
2024-01-17,0.5898
2024-02-02,0.591
2024-02-18,0.6655
2024-03-05,0.6816
2024-03-21,0.3665
2024-04-06,0.7401
2024-04-22,0.6701
2024-05-08,0.7174
2024-05-24,0.7127
2024-06-09,0.7423
2024-06-25,0.6926
2024-07-11,0.6302
2024-07-27,0.5188
2024-08-12,0.3475
2024-08-28,0.5162
2024-09-13,0.5062
2024-09-29,0.4298
2024-10-15,0.3805
2024-10-31,0.3791
2024-11-16,0.5183
2024-12-02,0.6647
2024-12-18,0.7333
2025-01-01,0.7218
2025-01-17,0.6746
2025-02-02,0.6155
2025-02-18,0.5728
2025-03-06,0.4571
2025-03-22,0.7021
2025-04-07,0.7334
2025-04-23,0.8202
2025-05-09,0.7233
2025-05-25,0.6585
2025-06-10,0.5688
2025-06-26,0.5067
2025-07-12,0.3312
2025-07-28,0.469
2025-08-13,0.3823
2025-08-29,0.3481
2025-09-14,0.3383
